Id	Name	X (mm)	Y (mm)	Z (mm)
1	Fp1	35.811629	-112.451177	44.754877
2	Fpz	11.411863	-117.611308	46.178958
3	Fp2	-12.503908	-117.028457	44.450044
4	AF3	44.005086	-100.707813	71.933584
5	AF4	-28.800091	-106.761116	67.889865
6	F7	74.667722	-69.642688	47.71313
7	F5	66.401527	-74.763181	72.496524
8	F3	50.397969	-79.088589	95.230192
9	F1	28.871374	-87.233262	105.945816
10	Fz	4.278424	-90.719843	112.186882
11	F2	-19.603384	-93.428321	103.53686
12	F4	-39.694866	-88.450832	90.667417
13	F6	-53.328719	-85.858843	67.161362
14	F8	-61.824136	-75.747106	42.545793
15	FC5	75.146835	-45.585421	85.460707
16	FC3	55.347033	-54.285114	109.988547
17	FC1	29.70257	-59.685146	125.960178
18	FCz	0.138702	-63.97648	131.185943
19	FC2	-28.622519	-66.778035	122.933705
20	FC4	-53.386718	-64.110856	104.532808
21	FC6	-69.082992	-58.758366	78.865337
22	T7	85.500745	-11.257202	62.593039
23	C5	77.250226	-17.678261	96.243093
24	C3	57.385219	-25.951597	122.967635
25	C1	29.129688	-32.487807	141.700801
26	Cz	-1.907829	-35.874731	146.476737
27	C2	-36.717964	-36.200561	135.970331
28	C4	-61.26459	-35.014273	116.265255
29	C6	-78.608147	-31.967546	88.983306
30	T8	-87.100778	-21.208498	56.094377
31	TP7	78.74946	17.137902	73.939403
32	CP5	71.931511	11.88922	103.153989
33	CP3	53.435844	5.079646	130.566634
34	CP1	25.862596	0.560517	146.928141
35	CPz	-5.991122	-4.353119	153.121395
36	CP2	-37.975959	-4.887769	145.428544
37	CP4	-64.250466	-4.532011	123.747259
38	CP6	-81.731872	0.271562	94.171808
39	TP8	-86.232218	6.071858	66.14477
40	P7	65.357688	42.611096	79.699837
41	P5	57.317126	38.410433	106.380656
42	P3	42.663771	33.807313	127.256093
43	P1	19.031574	32.625781	139.148973
44	Pz	-6.554956	27.300554	145.104588
45	P2	-34.855477	26.555735	138.827204
46	P4	-58.040602	24.528156	122.374474
47	P6	-71.557517	29.531858	98.469349
48	P8	-77.101334	32.236669	74.218871
49	PO7	44.792754	60.271437	89.601988
50	PO3	32.937558	54.772317	114.400664
51	PO1	14.236822	55.430797	121.753381
52	POz	-6.707246	53.290669	124.565955
53	PO2	-25.4976	53.029839	120.92356
54	PO4	-45.304957	51.322814	110.247361
55	PO8	-57.271358	56.066911	87.914909
56	O1	17.912651	72.363649	97.330216
57	Oz	-6.321381	74.276416	99.339154
58	O2	-32.030139	69.600005	95.304597
59	AFz	6.865203	-108.390587	86.765875
60	A1	75	0	0
61	A2	-75	0	0
62	NS	11.531383	-102.504116	0
